Category,Subcategory,Statement,Current State,Future State
Application,Implementing applications,Improvement - Our people emphasize and are diligent about learning applications and sharing ideas and best practices,FALSE,FALSE
Application,Implementing applications,Strategic Priority - Our successful application implementation process is a key competitive advantage,FALSE,FALSE
Application,Managing applications,"Subscription - Our people have a process to manage subscriptions, upgrades and downgrades to pay only as needed",FALSE,FALSE
Application,Managing applications,Provisioning - Our team provisions application access properly so we are not overpaying or giving access to users who don't need them,FALSE,FALSE
Application,Managing applications,Integrations - Our team has a formal process to evaluate the application portfolio and possible integrations,FALSE,FALSE
Application,Managing applications,"Updates - Our team monitors application usage,utilization and opportunities to leverage newfunctions",FALSE,FALSE
Application,Managing applications,Strategic Priority - The ROI of our applications is a key competitive advantage,FALSE,FALSE
Information,Analyze data,Business Development - Our team has the tools and skills necessary to analyze and extract insight from all available sales/marketing metrics,FALSE,FALSE
Information,Analyze data,Operations - Our team has the tools and skills necessary to analyze and extract insight from all available operations metrics,FALSE,FALSE
Information,Analyze data,Financial - Our team has the tools and skills necessary to analyze and extract insight from all available financial metrics,FALSE,FALSE
Information,Analyze data,Management - Our team has the tools and skills necessary to analyze and extract insight from all company performance metrics,FALSE,FALSE
Information,Analyze data,Strategic Priority - Our ability to extract valuable insight from available data is a key competitive advantage,FALSE,FALSE
Information,Reporting,Goals - Our team sets goals and can measure progress toward accomplishment,FALSE,FALSE
Information,Reporting,"Cadence - Our team has regular reports daily,weekly and monthly with relevant, updated and clear data",FALSE,FALSE
Information,Reporting,Alerting - Our team has proper alerts and notifications to react on different issues and problems on time,FALSE,FALSE
Information,Reporting,"Tools - Our team has all tools necessary togather insights quickly key performance indicators, dashboards, alerts, analytics etc.)",FALSE,FALSE
Information,Reporting,"Strategic Priority - Our ability for quick, real-time and accurate decisions is a key competitive advantage",FALSE,FALSE
Information,Manage information,Access - Our team has a central location to access all information needed,FALSE,FALSE
Information,Manage information,Control - Our team has proper access control over sensitive information,FALSE,FALSE
Information,Manage information,Sharing - Our team shares information properly within the organization and outside,FALSE,FALSE
Information,Manage information,Quality - Our team is cleaning and maintaining data and information records regularly,FALSE,FALSE
Information,Manage information,Strategic Priority - Our quick and efficient access to critical information is a keycompetitive advantage,FALSE,FALSE
Risk,Policy and compliance,Cybersecurity - Our company has a written and accepted cybersecurity policy in place,FALSE,FALSE
Risk,Policy and compliance,Data Protection - Our company has data protection and policies in place,FALSE,FALSE
Risk,Policy and compliance,Government Compliance - Our company is compliant with required regulatory information security requirements,FALSE,FALSE
Risk,Policy and compliance,Enforcement Ability - Our security and data protection policies are part of all employees contractual agreements,FALSE,FALSE
Risk,Policy and compliance,Strategic Priority - Addressing technology policies and compliance in a cost-effective and professional way is a competitive advantage,FALSE,FALSE
Risk,Cybersecurity risk management,Proactivity - Our company has a disaster recovery and business continuity plan in place,FALSE,FALSE
Risk,Cybersecurity risk management,Insurance - Our company has cybersecurity insurance in place,FALSE,FALSE
Risk,Cybersecurity risk management,Awareness - Our people are trained continuously in managing cybersecurity risks,FALSE,FALSE
Risk,Cybersecurity risk management,Protection - Our networks are protected by the right amount of security protocols and tools,FALSE,FALSE
Risk,Cybersecurity risk management,Strategic Priority - The reduction ofcybersecurity risks is a competitive advantage,FALSE,FALSE
Risk,IT infrastructure performance,Access - Our team has effi cient and effective access to company systems and data fromanywhere,FALSE,FALSE
Risk,IT infrastructure performance,Devices - Our teams devices are efficient and secure,FALSE,FALSE
Risk,IT infrastructure performance,"Internet - Our internet access is fast, reliable and accessible at all times",FALSE,FALSE
Risk,IT infrastructure performance,Backup - We have backup internet access that becomes available automatically through our IT system,FALSE,FALSE
Risk,IT infrastructure performance,Strategic Priority - Our overall IT Infrastructure allows for high productivity that is a key competitive advantage,FALSE,FALSE
Digital Transformation Strategy,Digital transformation vision,Insights - Our people actively gather insights from different sources to stay up to date with digital trends and opportunities,FALSE,FALSE
Digital Transformation Strategy,Digital transformation vision,"Current Reality - Our company has a candid approach to find all weaknesses, threats and issues regarding successful digital transformation",FALSE,FALSE
Digital Transformation Strategy,Digital transformation vision,Vision - Our company has a clear vision regarding the use of digital technologies to open opportunities and grow our company,FALSE,FALSE
Digital Transformation Strategy,Digital transformation vision,"Direction - Our company has a clear strategy to identify, develop and deploy digital tools",FALSE,FALSE
Digital Transformation Strategy,Digital transformation vision,Alignment - Each employee understands their role in supporting and developing our digital vision,FALSE,FALSE
Digital Transformation Strategy,Digital transformation strategy,Benchmark - Our digital maturity is measured against the best-in-class organizations,FALSE,FALSE
Digital Transformation Strategy,Digital transformation strategy,Internal Processes - Our company has defined how to improve business processes with digital transformation initiatives,FALSE,FALSE
Digital Transformation Strategy,Digital transformation strategy,Client Experience - Our company has defined how to improve client experience with digital transformation initiatives,FALSE,FALSE
Digital Transformation Strategy,Digital transformation strategy,Strategy - Our company has a compelling gameplan to achieve our digital transformation vision,FALSE,FALSE
Digital Transformation Strategy,Digital transformation strategy,Return on Investments - Improvements in Digital Maturity are directly connected to financial metrics,FALSE,FALSE
Digital Transformation Strategy,Digital transformation roadmap,Transparency - KPIs within our digital transformation roadmap are reviewed and evaluated monthly/quarterly/annually,FALSE,FALSE
Digital Transformation Strategy,Digital transformation roadmap,"Roadmap - Our digital transformation roadmap is well balanced with short, medium and long term goals",FALSE,FALSE
Digital Transformation Strategy,Digital transformation roadmap,Scope - Our people planned and defined the scope of the key initiatives in our digital transformation roadmap,FALSE,FALSE
Digital Transformation Strategy,Digital transformation roadmap,Execution - Our team members understand their roles and responsibilities in the execution of the digital transformation roadmap,FALSE,FALSE
Digital Transformation Strategy,Digital transformation roadmap,Focus - Our Digital Transformation Roadmap helps us focus on our key initiatives,FALSE,FALSE
Digital Transformation Strategy,Digital strategy execution,Leadership - Our company has a single person driving the execution of the digital transformation roadmap,FALSE,FALSE
Digital Transformation Strategy,Digital strategy execution,People - The digital transformation team has been selected and formed to execute the plan,FALSE,FALSE
Digital Transformation Strategy,Digital strategy execution,Meeting Pulse - Our management team has a weekly update with the person leading digitaltransformation,FALSE,FALSE
Digital Transformation Strategy,Digital strategy execution,Accountability - Our digital transformation lead tracks and reports on the progress of transformation projects,FALSE,FALSE
Digital Transformation Strategy,Digital strategy execution,Measurement - Our digital transformation lead monitors and reports on the ROI relating to digital transformation projects,FALSE,FALSE
